,heure,type,nb_pl,cam_num,cam_nom
14,4,PL locaux,65.11325966850829,"7,8",N89
15,5,PL en transit,26.68252666119771,"7,8",N89
16,5,Vehicules Legers,434.0,"7,8",N89
17,5,PL locaux,112.31747333880229,"7,8",N89
18,6,PL en transit,41.271144278606954,"7,8",N89
19,6,Vehicules Legers,1631.0,"7,8",N89
20,6,PL locaux,193.72885572139305,"7,8",N89
21,7,PL en transit,24.49664429530202,"7,8",N89
22,7,Vehicules Legers,2743.0,"7,8",N89
23,7,PL locaux,225.50335570469798,"7,8",N89
24,8,PL en transit,24.590423426988522,"7,8",N89
25,8,Vehicules Legers,3152.0,"7,8",N89
26,8,PL locaux,214.40957657301146,"7,8",N89
27,9,PL en transit,36.36947791164659,"7,8",N89
28,9,Vehicules Legers,2194.0,"7,8",N89
29,9,PL locaux,246.63052208835342,"7,8",N89
30,10,PL en transit,44.39051220350636,"7,8",N89
31,10,Vehicules Legers,1857.0,"7,8",N89
32,10,PL locaux,261.6094877964936,"7,8",N89
33,11,PL en transit,44.37733689431514,"7,8",N89
34,11,Vehicules Legers,1799.0,"7,8",N89
35,11,PL locaux,238.62266310568486,"7,8",N89
36,12,PL en transit,40.86917157084653,"7,8",N89
37,12,Vehicules Legers,1777.0,"7,8",N89
38,12,PL locaux,203.13082842915347,"7,8",N89
39,13,PL en transit,41.66252873563218,"7,8",N89
40,13,Vehicules Legers,1911.0,"7,8",N89
41,13,PL locaux,199.33747126436782,"7,8",N89
42,14,PL en transit,38.06182911120653,"7,8",N89
43,14,Vehicules Legers,1961.0,"7,8",N89
44,14,PL locaux,215.93817088879348,"7,8",N89
45,15,PL en transit,36.218929677134014,"7,8",N89
46,15,Vehicules Legers,2215.0,"7,8",N89
47,15,PL locaux,206.781070322866,"7,8",N89
48,16,PL en transit,30.42605801236329,"7,8",N89
49,16,Vehicules Legers,2809.0,"7,8",N89
50,16,PL locaux,183.57394198763672,"7,8",N89
51,17,PL en transit,20.29773462783172,"7,8",N89
52,17,Vehicules Legers,3363.0,"7,8",N89
53,17,PL locaux,139.70226537216828,"7,8",N89
54,18,PL en transit,21.916167664670663,"7,8",N89
55,18,Vehicules Legers,3006.0,"7,8",N89
56,18,PL locaux,98.08383233532933,"7,8",N89
57,19,PL en transit,22.209302325581394,"7,8",N89
58,19,Vehicules Legers,2019.0,"7,8",N89
59,19,PL locaux,72.79069767441861,"7,8",N89
60,20,PL en transit,19.17111459968603,"7,8",N89
61,20,Vehicules Legers,1072.0,"7,8",N89
62,20,PL locaux,51.828885400313965,"7,8",N89
63,21,PL en transit,12.776119402985074,"7,8",N89
64,21,Vehicules Legers,594.0,"7,8",N89
65,21,PL locaux,35.223880597014926,"7,8",N89
66,22,PL en transit,12.912621359223301,"7,8",N89
67,22,Vehicules Legers,401.0,"7,8",N89
68,22,PL locaux,22.0873786407767,"7,8",N89
69,23,PL en transit,10.983847283406753,"7,8",N89
70,23,Vehicules Legers,312.0,"7,8",N89
71,23,PL locaux,19.016152716593247,"7,8",N89
0,0,PL en transit,43.941176470588246,"9,10",A62
1,0,Vehicules Legers,162.0,"9,10",A62
2,0,PL locaux,39.058823529411754,"9,10",A62
3,1,PL en transit,59.190537084399,"9,10",A62
4,1,Vehicules Legers,114.0,"9,10",A62
